accuracy,auc,auc_pr,loss,precision,recall,val_accuracy,val_auc,val_auc_pr,val_loss,val_precision,val_recall,val_f1_best,val_precision_best,val_recall_best,val_threshold_best,learning_rate
0.7014999985694885,0.7803018093109131,0.48930686712265015,0.5663869976997375,0.3611339330673218,0.7120868563652039,0.7599999904632568,0.8278532028198242,0.5769585371017456,0.4964289665222168,0.42780542373657227,0.7239144444465637,0.5594965675057209,0.500768049155146,0.6338302009073234,0.6,0.0006000000284984708
0.7424062490463257,0.8199355006217957,0.5593863129615784,0.5212620496749878,0.4070049524307251,0.7342838644981384,0.7627500295639038,0.8314236998558044,0.5830074548721313,0.4978373050689697,0.4318618178367615,0.7290991544723511,0.5607221006564551,0.4850922858495031,0.6642903434867142,0.58,0.0006000000284984708
0.7470625042915344,0.8231192231178284,0.5610166788101196,0.5172390341758728,0.4135324954986572,0.7446532845497131,0.7513750195503235,0.8342198133468628,0.5895533561706543,0.5122058391571045,0.42024320363998413,0.7615035772323608,0.5661680092059839,0.5090532850491464,0.6377187297472456,0.63,0.0006000000284984708
0.7478125095367432,0.8261178731918335,0.5657541751861572,0.513150691986084,0.4143037796020508,0.7433571219444275,0.7568749785423279,0.833869218826294,0.589678943157196,0.5038243532180786,0.4260485768318176,0.7504860758781433,0.5630057803468208,0.5080855503390714,0.6312378483473753,0.62,0.0006000000284984708
0.7497187256813049,0.8299818634986877,0.5730118155479431,0.5081369876861572,0.41664397716522217,0.743843138217926,0.7620000243186951,0.8340505361557007,0.5892171263694763,0.49510160088539124,0.43180960416793823,0.7407647371292114,0.56244160697602,0.5413669064748201,0.5852235904082955,0.65,0.0006000000284984708
0.7516875267028809,0.8327364325523376,0.5762697458267212,0.5045809149742126,0.41958296298980713,0.7498379945755005,0.7716249823570251,0.8340200781822205,0.5913550853729248,0.4832545518875122,0.4440504312515259,0.7303953170776367,0.5615199034981906,0.5250987027636774,0.6033700583279326,0.62,0.0006000000284984708
0.7530624866485596,0.834760308265686,0.5807672739028931,0.5018598437309265,0.42142078280448914,0.7516202330589294,0.7722499966621399,0.8343311548233032,0.5926957726478577,0.48171567916870117,0.4449269771575928,0.7303953170776367,0.561447286338116,0.5411906193625977,0.5832793259883344,0.64,0.0006000000284984708
0.7560937404632568,0.8355386257171631,0.5820046663284302,0.5008342266082764,0.42561718821525574,0.7569669485092163,0.7678750157356262,0.8344553709030151,0.5924887657165527,0.48902416229248047,0.4395223557949066,0.7394685745239258,0.5617391304347826,0.5081279496591505,0.62799740764744,0.61,0.0006000000284984708
0.7540624737739563,0.8368958234786987,0.5835323333740234,0.49901607632637024,0.4229302704334259,0.7548606395721436,0.7722499966621399,0.8343878388404846,0.5938336849212646,0.4812646210193634,0.4454011619091034,0.7375243306159973,0.5649000317359568,0.5534825870646766,0.5767984445884641,0.65,0.0006000000284984708
0.757156252861023,0.839623749256134,0.5937617421150208,0.4945809841156006,0.4265637993812561,0.7524303197860718,0.765999972820282,0.8346660733222961,0.5944989323616028,0.48747363686561584,0.4372377097606659,0.7427089810371399,0.5684007707129094,0.5633354551241248,0.5735580038885288,0.67,0.0003000000142492354
0.7599687576293945,0.8411512970924377,0.5929577350616455,0.49302196502685547,0.43041592836380005,0.756156861782074,0.7648749947547913,0.8345252275466919,0.5936638116836548,0.4899519979953766,0.43593630194664,0.745301365852356,0.5679164105716041,0.5400350672121567,0.5988334413480233,0.65,0.0003000000142492354
0.7586249709129333,0.8426932692527771,0.5968832969665527,0.4906066060066223,0.4291841685771942,0.7619896531105042,0.7648749947547913,0.8346553444862366,0.5952784419059753,0.48759713768959045,0.4358390271663666,0.7440052032470703,0.5683497536945813,0.5413489736070382,0.5981853532080363,0.65,0.0003000000142492354
0.7590625286102295,0.8419510126113892,0.5941823720932007,0.49150606989860535,0.4293458163738251,0.7571289539337158,0.7670000195503235,0.8344471454620361,0.5945001244544983,0.4841817021369934,0.43805480003356934,0.7355800271034241,0.5669878769039478,0.5448028673835126,0.5910563836681789,0.65,0.0003000000142492354
0.7584999799728394,0.8418334126472473,0.5953607559204102,0.4922439455986023,0.42870235443115234,0.7579391002655029,0.7642499804496765,0.8344237804412842,0.5955078601837158,0.4877105951309204,0.43491461873054504,0.7427089810371399,0.5660493827160494,0.5403653506187389,0.594296824368114,0.65,0.0003000000142492354
0.7589062452316284,0.8430368304252625,0.5971736907958984,0.4899945557117462,0.4296397566795349,0.7632858157157898,0.7667499780654907,0.8338417410850525,0.5931307673454285,0.4853268563747406,0.43790850043296814,0.7381724119186401,0.5656309448319594,0.5536933581626319,0.5780946208684381,0.66,0.0003000000142492354
0.761968731880188,0.8432254791259766,0.595244824886322,0.49035385251045227,0.4333794414997101,0.7615035772323608,0.7668750286102295,0.8342313766479492,0.5941970348358154,0.48487329483032227,0.43836140632629395,0.7420608997344971,0.5682451253481894,0.5438388625592417,0.5949449125081011,0.65,0.0003000000142492354
0.7629062533378601,0.8448008298873901,0.5981684327125549,0.4880582094192505,0.4346420466899872,0.7623136639595032,0.7573750019073486,0.8348574638366699,0.5961886644363403,0.4960377812385559,0.4266224205493927,0.7498379945755005,0.56992700729927,0.5185972369819342,0.6325340246273493,0.63,0.0001500000071246177
0.7607187628746033,0.845187246799469,0.5995597839355469,0.48711711168289185,0.43184947967529297,0.7623136639595032,0.7557500004768372,0.834823727607727,0.5961392521858215,0.496913880109787,0.4246976971626282,0.7511341571807861,0.5695440206481216,0.5108024691358025,0.6435515230071289,0.62,0.0001500000071246177
0.7611250281333923,0.8434697389602661,0.5993796586990356,0.4896978437900543,0.4322158694267273,0.7603694200515747,0.7549999952316284,0.8344973921775818,0.5956223011016846,0.4985838532447815,0.42398834228515625,0.7537264823913574,0.5695324283559577,0.5327313769751693,0.6117952041477641,0.65,0.0001500000071246177
0.7640312314033508,0.8467809557914734,0.602851390838623,0.48531755805015564,0.43630483746528625,0.7652300596237183,0.7581250071525574,0.8348637819290161,0.596777617931366,0.4935739040374756,0.4274611473083496,0.7485417723655701,0.5688709211666185,0.5130208333333334,0.6383668178872327,0.62,0.0001500000071246177
0.7662500143051147,0.8476115465164185,0.602641761302948,0.48410311341285706,0.4394107758998871,0.7684705257415771,0.7556250095367432,0.8350165486335754,0.596824586391449,0.49649590253829956,0.4245973527431488,0.751782238483429,0.5703264094955489,0.5259989053092501,0.6228127025275437,0.64,0.0001500000071246177
0.7627187371253967,0.8457573652267456,0.6054115891456604,0.48667991161346436,0.43449801206588745,0.7636098265647888,0.7551249861717224,0.8347397446632385,0.5969634652137756,0.495144248008728,0.42403215169906616,0.7524303197860718,0.5687091017251636,0.525563496426608,0.6195722618276086,0.64,0.0001500000071246177
0.7640937566757202,0.8459535241127014,0.6005088090896606,0.4868151545524597,0.436678022146225,0.7692806124687195,0.7565000057220459,0.8348187208175659,0.5967594385147095,0.49347275495529175,0.4254143536090851,0.7485417723655701,0.5683497536945813,0.5413489736070382,0.5981853532080363,0.66,0.0001500000071246177
0.7635312676429749,0.8475676774978638,0.6039537191390991,0.48411208391189575,0.4353867471218109,0.7615035772323608,0.7538750171661377,0.8349148631095886,0.597943127155304,0.49738845229148865,0.42243263125419617,0.751782238483429,0.5696275071633238,0.5105290190035953,0.644199611147116,0.62,0.0001500000071246177
0.7645000219345093,0.8475232124328613,0.6040905714035034,0.48420998454093933,0.4366641938686371,0.7618275880813599,0.7556250095367432,0.8345367908477783,0.596724808216095,0.49682387709617615,0.4247626066207886,0.7537264823913574,0.5688970363580813,0.5381502890173411,0.6033700583279326,0.66,0.0001500000071246177
0.7651875019073486,0.8477968573570251,0.6068820953369141,0.48378056287765503,0.43809962272644043,0.769442617893219,0.7571250200271606,0.8344736695289612,0.5957182049751282,0.4936789572238922,0.42603549361228943,0.7465975284576416,0.5704615384615385,0.5430579964850615,0.6007777057679844,0.66,0.0001500000071246177
0.7628124952316284,0.8475837111473083,0.6056421995162964,0.48391345143318176,0.4348944127559662,0.767336368560791,0.7588750123977661,0.8348769545555115,0.596640944480896,0.491726815700531,0.42825278639793396,0.7465975284576416,0.5705483672211953,0.543746330005872,0.6001296176279974,0.66,0.0001500000071246177
0.766531229019165,0.8482311964035034,0.6073572635650635,0.4832049012184143,0.43953076004981995,0.7649060487747192,0.7572500109672546,0.8348724246025085,0.5966969728469849,0.49473679065704346,0.4263021647930145,0.7478936910629272,0.5710085269038518,0.5226049515608181,0.6292935839274141,0.63,0.0001500000071246177
0.7643437385559082,0.847000241279602,0.6008756160736084,0.48505261540412903,0.43683674931526184,0.7670122981071472,0.7586249709129333,0.8346872329711914,0.5959294438362122,0.49385979771614075,0.42804154753685,0.7478936910629272,0.5693265421618563,0.5052737317930688,0.6519766688269605,0.61,0.0001500000071246177
0.7665937542915344,0.8498526215553284,0.6061114072799683,0.4811767339706421,0.43964633345603943,0.7653920650482178,0.7563750147819519,0.834735095500946,0.595901370048523,0.4968279004096985,0.4252026677131653,0.7478936910629272,0.5694189602446483,0.5390851187029531,0.6033700583279326,0.66,0.0001500000071246177
